id,bairro,quartos,preco_noite,avaliacao,ocupacao_pct
4948,Botafogo,4,202,2.72,69.56
4949,Leblon,3,1464,3.36,61.95
4950,Ipanema,1,1338,3.38,54.0
4951,Flamengo,4,861,3.61,38.31
4952,Lapa,5,1177,4.34,69.09
4953,Flamengo,4,662,4.82,39.32
4954,Leblon,1,1209,2.85,23.86
4955,Copacabana,4,597,3.69,70.11
4956,Lapa,2,728,3.12,38.28
4957,Ipanema,5,1514,4.67,25.16
4958,Leblon,3,1827,4.33,65.88
4959,Lapa,5,625,3.64,85.76
4960,Leblon,5,1955,4.91,68.21
4961,Leblon,3,309,3.75,55.89
4962,Ipanema,3,619,2.97,82.03
4963,Barra da Tijuca,1,790,2.53,96.32
4964,Botafogo,1,1839,2.96,56.63
4965,Lapa,2,1257,4.99,68.17
4966,Ipanema,4,1909,4.89,46.94
4967,Leblon,4,332,4.84,56.92
4968,Ipanema,4,1932,2.67,69.25
4969,Barra da Tijuca,5,168,2.89,80.66
4970,Botafogo,5,488,4.73,56.9
4971,Flamengo,3,1203,4.46,20.28
4972,Lapa,2,1503,4.16,71.42
4973,Botafogo,2,165,4.51,71.74
4974,Copacabana,4,710,3.98,68.99
4975,Lapa,3,373,3.81,97.82
4976,Botafogo,4,904,2.82,77.5
4977,Leblon,5,614,4.27,41.8
4978,Lapa,3,1476,3.68,58.18
4979,Lapa,4,989,4.94,55.09
4980,Ipanema,2,1293,2.73,74.58
4981,Leblon,1,1484,3.83,68.79
4982,Copacabana,5,568,3.77,55.04
4983,Flamengo,4,1224,4.74,91.03
4984,Barra da Tijuca,3,1407,4.08,22.71
4985,Botafogo,3,1115,2.9,52.79
4986,Ipanema,4,1167,3.98,88.79
4987,Botafogo,2,1121,4.43,21.87
4988,Copacabana,4,1266,2.59,92.84
4989,Copacabana,5,773,4.26,57.13
4990,Lapa,3,1192,2.65,73.7
4991,Barra da Tijuca,5,543,3.75,83.45
4992,Copacabana,1,1210,2.93,68.25
4993,Botafogo,2,218,3.81,25.04
4994,Leblon,4,1612,3.72,64.47
4995,Leblon,4,388,4.1,29.02
4996,Lapa,2,662,4.51,58.59
4997,Flamengo,3,401,4.25,29.05
4998,Botafogo,4,452,4.09,23.19
4999,Botafogo,2,1888,3.88,26.17
5000,Copacabana,4,1578,4.46,38.87
5001,Barra da Tijuca,3,1695,4.85,48.64
5002,Botafogo,2,1431,3.28,88.01
5003,Ipanema,3,1111,2.93,22.61
5004,Flamengo,4,505,3.83,83.47
5005,Copacabana,2,114,3.96,26.12
5006,Ipanema,1,533,3.38,92.19
5007,Lapa,4,278,3.68,78.33
5008,Leblon,2,555,4.74,71.05
5009,Lapa,1,1868,3.15,22.45
5010,Leblon,2,1075,4.87,72.98
5011,Lapa,5,640,3.31,38.8
5012,Botafogo,5,1944,2.97,87.31
5013,Ipanema,2,1894,3.27,61.35
5014,Leblon,2,1939,4.75,23.91
5015,Copacabana,5,503,3.96,37.19
5016,Ipanema,4,1884,2.93,84.83
5017,Copacabana,5,1188,4.85,22.67
5018,Ipanema,5,352,4.8,25.4
5019,Ipanema,5,1514,4.52,83.46
5020,Lapa,3,559,3.17,97.78
5021,Leblon,4,1399,4.65,75.99
5022,Leblon,3,1980,4.01,20.31
5023,Barra da Tijuca,4,1166,4.42,31.97
5024,Ipanema,3,1488,3.46,28.07
5025,Botafogo,3,540,3.54,36.01
5026,Botafogo,2,1756,2.88,43.66
5027,Copacabana,5,1462,3.25,45.45
5028,Copacabana,2,144,3.36,95.83
5029,Lapa,2,1707,3.16,33.28
5030,Ipanema,2,490,3.22,73.25
5031,Copacabana,1,581,3.69,57.65
5032,Copacabana,4,612,4.14,41.89
5033,Flamengo,2,415,2.73,91.86
5034,Ipanema,2,1965,3.0,49.52
5035,Lapa,1,1589,2.75,34.58
5036,Copacabana,1,1863,4.37,93.45
5037,Lapa,5,1836,4.73,27.75
5038,Leblon,2,475,4.48,42.87
5039,Lapa,4,1306,3.77,72.36
5040,Botafogo,2,358,2.76,88.51
5041,Botafogo,5,455,4.39,62.2
5042,Lapa,2,878,4.99,69.12
5043,Botafogo,1,864,4.29,80.04
5044,Leblon,1,398,2.59,37.28
5045,Ipanema,5,400,3.56,69.28
5046,Botafogo,5,363,3.11,70.32
5047,Botafogo,1,1343,4.67,88.63
5048,Lapa,1,1361,4.1,71.59
5049,Leblon,2,778,4.86,85.23
5050,Barra da Tijuca,5,1107,4.59,56.61
5051,Barra da Tijuca,2,1495,4.35,86.74
5052,Barra da Tijuca,1,1633,3.41,46.98
5053,Barra da Tijuca,4,458,3.33,74.6
5054,Ipanema,5,1284,4.47,56.96
5055,Lapa,2,896,4.7,52.45
5056,Lapa,5,1321,2.72,56.16
5057,Flamengo,4,1781,3.28,27.92
5058,Leblon,3,988,3.0,41.75
5059,Barra da Tijuca,1,529,2.58,40.59
5060,Ipanema,4,107,2.52,83.84
5061,Leblon,3,1868,3.49,96.57
5062,Barra da Tijuca,2,1744,3.39,57.1
5063,Ipanema,4,1296,4.12,66.74
5064,Leblon,3,346,2.54,21.6
5065,Lapa,4,370,4.88,79.72
5066,Lapa,3,920,4.65,22.9
5067,Copacabana,2,1118,2.72,64.58
5068,Botafogo,2,834,4.87,62.46
5069,Barra da Tijuca,2,1187,4.94,61.42
5070,Flamengo,2,288,2.5,98.01
5071,Leblon,2,945,3.95,76.18
5072,Flamengo,3,853,2.96,82.33
5073,Copacabana,2,411,4.82,50.07
5074,Botafogo,4,1273,4.52,88.12
5075,Leblon,4,812,2.63,40.39
5076,Ipanema,2,889,4.96,39.33
5077,Barra da Tijuca,4,1295,4.12,64.19
5078,Botafogo,2,1361,3.86,73.43
5079,Lapa,4,1249,3.74,34.65
5080,Copacabana,5,1434,4.74,88.28
5081,Botafogo,1,1038,4.48,80.71
5082,Barra da Tijuca,4,1783,3.52,61.11
5083,Botafogo,4,1144,3.78,75.61
5084,Barra da Tijuca,1,1132,2.89,88.55
5085,Lapa,5,1878,4.71,80.81
5086,Leblon,1,620,2.75,38.3
5087,Ipanema,4,1245,4.08,71.88
5088,Lapa,2,1367,3.03,43.61
5089,Ipanema,5,939,3.42,34.14
5090,Leblon,4,1586,4.04,25.09
5091,Botafogo,2,1970,3.57,26.81
5092,Ipanema,2,1145,4.11,68.79
5093,Copacabana,5,318,3.99,57.7
5094,Copacabana,4,271,2.69,57.25
5095,Barra da Tijuca,3,1306,4.03,69.24
5096,Lapa,2,1414,3.6,21.02
5097,Leblon,1,307,3.5,77.45
5098,Barra da Tijuca,3,1790,3.24,34.58
5099,Lapa,1,1793,4.37,42.26
5100,Lapa,5,1348,3.18,42.13
5101,Barra da Tijuca,2,178,2.82,26.69
5102,Flamengo,2,1824,4.86,97.31
5103,Lapa,5,837,2.86,76.37
5104,Flamengo,2,1896,2.75,75.61
5105,Copacabana,3,879,4.43,22.2
5106,Copacabana,3,1798,3.14,81.79
5107,Lapa,5,1301,3.34,47.88
5108,Copacabana,4,488,4.92,88.09
5109,Leblon,2,1254,3.47,79.2
5110,Flamengo,3,639,3.12,52.91
5111,Flamengo,1,889,3.11,43.06
5112,Lapa,2,853,3.39,29.78
5113,Copacabana,3,130,4.53,88.94
5114,Ipanema,3,556,3.23,34.69
5115,Barra da Tijuca,3,1278,4.86,77.14
5116,Barra da Tijuca,4,490,3.51,27.58
5117,Flamengo,5,1617,2.99,66.24
5118,Lapa,4,1016,2.9,61.33
5119,Lapa,1,1948,3.66,73.96
5120,Leblon,1,1968,4.77,89.37
5121,Botafogo,5,371,3.71,26.53
5122,Botafogo,5,370,3.14,31.94
5123,Flamengo,3,1548,4.06,66.95
5124,Barra da Tijuca,1,1583,2.64,44.45
5125,Leblon,3,1539,4.2,93.36
5126,Leblon,5,1863,4.44,47.27
5127,Leblon,1,1782,3.08,51.52
5128,Flamengo,3,272,3.04,57.95
5129,Botafogo,2,159,4.76,54.45
5130,Barra da Tijuca,2,231,3.64,24.12
5131,Leblon,3,624,2.87,54.95
5132,Barra da Tijuca,4,514,2.61,70.56
5133,Copacabana,3,1602,4.49,35.53
5134,Lapa,1,1450,2.73,65.33
5135,Lapa,5,943,3.63,24.55
5136,Barra da Tijuca,3,1102,3.2,44.57
5137,Ipanema,1,690,4.62,42.38
5138,Ipanema,1,1467,3.82,50.4
5139,Flamengo,2,1555,4.37,69.98
5140,Flamengo,3,338,4.34,87.26
5141,Lapa,4,336,3.87,44.92
5142,Copacabana,4,1451,3.53,82.75
5143,Botafogo,5,351,4.37,73.68
5144,Botafogo,5,1636,4.5,50.76
5145,Flamengo,2,1569,4.61,61.7
5146,Copacabana,3,430,4.52,62.29
5147,Flamengo,5,1378,4.57,47.16
5148,Botafogo,3,507,4.57,38.11
5149,Barra da Tijuca,4,522,4.64,84.84
5150,Flamengo,1,1061,3.5,80.06
5151,Leblon,4,542,4.18,38.03
5152,Barra da Tijuca,2,1849,4.95,51.4
5153,Flamengo,3,452,2.58,29.57
5154,Lapa,1,884,3.88,91.62
5155,Flamengo,1,1571,2.59,70.45
5156,Lapa,2,1490,3.94,40.51
5157,Copacabana,1,1079,4.67,27.59
5158,Botafogo,3,1552,4.45,93.35
5159,Barra da Tijuca,4,1125,4.35,90.82
5160,Barra da Tijuca,3,1558,2.91,85.84
5161,Ipanema,5,1993,3.87,56.68
5162,Ipanema,1,1630,3.45,75.9
5163,Botafogo,1,807,3.14,32.97
5164,Ipanema,3,730,4.68,30.44
5165,Barra da Tijuca,2,868,3.6,81.32
5166,Flamengo,3,1971,2.83,46.66
5167,Copacabana,4,321,4.44,31.3
5168,Copacabana,2,838,2.9,35.79
5169,Botafogo,1,1633,3.82,53.3
5170,Ipanema,1,880,4.11,52.39
5171,Flamengo,2,1455,4.67,68.5
5172,Copacabana,2,266,3.8,56.55
5173,Copacabana,2,622,2.61,43.31
5174,Leblon,1,798,4.17,23.04
5175,Leblon,1,931,3.32,50.75
5176,Barra da Tijuca,1,356,3.3,74.53
5177,Copacabana,1,290,2.89,98.23
5178,Botafogo,1,441,3.52,46.42
5179,Lapa,3,1907,4.02,69.68
5180,Lapa,3,1872,2.51,69.32
5181,Flamengo,3,1944,3.91,31.23
5182,Copacabana,2,1943,4.88,89.1
5183,Copacabana,1,1894,4.4,33.72
5184,Barra da Tijuca,3,1004,3.41,22.77
5185,Copacabana,2,1021,4.7,92.78
5186,Botafogo,4,1134,4.21,35.78
5187,Leblon,5,204,2.99,35.32
5188,Copacabana,4,662,4.52,84.5
5189,Copacabana,4,656,4.3,57.39
5190,Barra da Tijuca,5,1229,3.71,59.16
5191,Ipanema,2,1920,2.68,57.27
5192,Barra da Tijuca,5,1017,2.82,30.53
5193,Barra da Tijuca,2,1251,4.01,70.84
5194,Botafogo,4,574,3.24,72.49
5195,Flamengo,5,1663,3.99,41.91
5196,Copacabana,4,1172,2.74,75.06
5197,Barra da Tijuca,5,1056,4.37,99.5
5198,Barra da Tijuca,5,974,4.88,33.63
5199,Ipanema,1,1035,3.61,71.67
5200,Barra da Tijuca,3,601,4.86,60.01
5201,Lapa,3,754,3.46,55.51
5202,Flamengo,4,1958,3.81,90.75
5203,Copacabana,4,1976,4.87,84.0
5204,Copacabana,4,862,3.83,40.86
5205,Ipanema,1,443,3.47,99.43
5206,Botafogo,1,1739,2.96,97.98
5207,Copacabana,4,1058,4.91,38.5
5208,Lapa,1,1219,2.89,88.63
5209,Copacabana,5,800,3.94,70.04
5210,Lapa,5,551,4.87,54.86
5211,Flamengo,5,658,2.53,64.13
5212,Flamengo,3,266,3.02,56.12
5213,Leblon,5,1496,3.32,44.09
5214,Leblon,3,717,4.39,48.62
5215,Lapa,5,1759,2.83,32.68
5216,Botafogo,4,660,4.52,69.87
5217,Copacabana,3,247,3.36,57.62
5218,Barra da Tijuca,1,705,4.61,55.57
5219,Copacabana,3,1548,4.84,99.86
5220,Leblon,2,832,3.38,98.23
5221,Barra da Tijuca,3,539,4.15,38.96
5222,Lapa,5,987,3.31,48.88
5223,Barra da Tijuca,5,1023,3.54,79.26
5224,Copacabana,5,1133,3.39,67.86
5225,Copacabana,1,716,3.31,42.86
5226,Botafogo,4,1583,3.69,99.96
5227,Ipanema,3,1064,2.52,27.91
5228,Barra da Tijuca,1,1279,3.18,76.66
5229,Leblon,2,1452,4.21,97.76
5230,Leblon,3,1894,3.13,35.21
5231,Ipanema,5,1514,3.08,32.31
5232,Copacabana,1,1271,3.23,74.17
5233,Botafogo,1,1188,4.93,65.06
5234,Botafogo,3,436,3.8,53.37
5235,Leblon,1,979,4.38,81.25
5236,Botafogo,1,607,2.86,43.33
5237,Flamengo,1,1273,3.21,25.34
5238,Ipanema,3,1312,4.43,23.97
5239,Copacabana,5,1664,4.23,49.45
5240,Flamengo,1,1342,4.32,50.8
5241,Ipanema,1,955,3.59,87.87
5242,Lapa,4,346,4.51,73.36
5243,Barra da Tijuca,2,590,4.31,94.26
5244,Leblon,4,338,4.03,78.92
5245,Botafogo,5,973,4.36,75.48
5246,Lapa,4,1950,3.64,91.92
5247,Botafogo,3,754,2.95,34.92
5248,Flamengo,4,1131,4.7,26.3
5249,Copacabana,3,1927,4.09,31.71
5250,Copacabana,4,345,3.1,60.55
5251,Copacabana,4,1418,4.74,64.1
5252,Botafogo,2,1415,4.85,62.97
5253,Lapa,3,1885,3.55,91.23
5254,Copacabana,5,1147,4.01,38.17
5255,Lapa,1,1148,4.6,36.96
5256,Botafogo,5,1848,4.22,41.26
5257,Flamengo,4,422,3.55,51.51
5258,Lapa,5,809,2.64,40.63
5259,Flamengo,4,1935,3.46,72.4
5260,Botafogo,4,593,4.97,40.67
5261,Botafogo,1,1325,3.14,54.4
5262,Leblon,2,938,3.94,47.85
5263,Botafogo,2,1240,2.91,64.71
5264,Botafogo,1,1808,3.76,51.33
5265,Ipanema,5,1185,4.22,67.37
5266,Copacabana,3,129,4.45,89.01
5267,Leblon,1,720,4.09,42.7
5268,Barra da Tijuca,4,947,2.65,83.81
5269,Leblon,2,700,3.79,30.48
5270,Leblon,2,445,3.58,80.48
5271,Barra da Tijuca,5,505,3.09,24.96
5272,Ipanema,3,696,4.62,39.88
5273,Flamengo,1,1710,3.87,99.38
5274,Botafogo,4,1982,4.29,98.51
5275,Copacabana,4,1481,4.8,29.42
5276,Lapa,3,558,2.87,29.55
5277,Barra da Tijuca,5,1299,4.51,25.36
5278,Flamengo,3,1810,3.91,54.8
5279,Barra da Tijuca,5,1056,3.47,26.43
5280,Botafogo,5,1916,4.63,51.5
5281,Ipanema,1,709,2.5,88.25
5282,Barra da Tijuca,1,1240,3.98,91.98
5283,Botafogo,4,1333,4.47,68.02
5284,Botafogo,2,664,4.03,29.13
5285,Ipanema,5,882,4.1,77.36
5286,Leblon,4,625,4.64,39.65
5287,Leblon,2,557,2.62,76.61
5288,Copacabana,4,1867,2.7,27.06
5289,Copacabana,5,802,4.64,86.25
5290,Leblon,2,549,2.94,49.76
5291,Flamengo,3,762,3.62,50.38
5292,Lapa,1,1695,2.59,82.82
5293,Botafogo,1,604,2.93,22.44
5294,Lapa,2,743,2.93,85.58
5295,Botafogo,2,1778,4.54,72.54
5296,Leblon,5,1940,3.65,65.53
5297,Copacabana,2,1807,4.5,39.74
5298,Flamengo,1,370,3.17,21.54
5299,Copacabana,5,1739,4.3,38.43
5300,Lapa,4,128,3.72,95.58
5301,Copacabana,1,1988,3.66,70.22
5302,Leblon,3,152,4.35,44.0
5303,Flamengo,5,1879,3.38,50.38
5304,Lapa,3,1115,3.17,42.22
5305,Flamengo,2,490,3.8,96.23
5306,Botafogo,4,1845,4.16,39.89
5307,Copacabana,2,1913,2.62,35.7
5308,Flamengo,1,828,3.12,81.35
5309,Ipanema,4,871,3.87,44.02
5310,Copacabana,1,669,3.89,94.74
5311,Botafogo,4,1744,3.58,85.91
5312,Flamengo,3,1960,4.33,76.09
5313,Lapa,1,495,4.12,77.81
5314,Botafogo,1,286,4.41,68.15
5315,Ipanema,2,185,3.44,55.17
5316,Flamengo,5,603,4.29,92.28
5317,Barra da Tijuca,1,908,4.74,53.51
5318,Barra da Tijuca,4,250,3.84,46.79
5319,Leblon,2,1821,3.54,58.81
5320,Copacabana,5,1319,3.97,21.34
5321,Lapa,1,731,4.83,90.26
5322,Leblon,3,1957,4.89,63.91
5323,Flamengo,2,1419,3.72,54.56
5324,Barra da Tijuca,3,775,4.11,74.08
5325,Barra da Tijuca,4,1259,3.42,30.89
5326,Barra da Tijuca,2,1366,3.4,73.48
5327,Flamengo,2,1021,3.74,94.53
5328,Barra da Tijuca,2,860,3.72,50.59
5329,Botafogo,5,562,4.55,24.15
5330,Flamengo,5,1321,2.69,48.27
5331,Lapa,1,371,4.5,28.75
5332,Leblon,3,527,3.51,85.4
5333,Lapa,1,1810,4.13,75.49
5334,Ipanema,3,800,4.45,87.16
5335,Barra da Tijuca,1,1874,4.34,99.94
5336,Ipanema,2,379,4.23,97.1
5337,Copacabana,2,617,4.67,20.02
5338,Copacabana,3,690,2.59,30.03
5339,Ipanema,2,1958,4.17,36.27
5340,Flamengo,1,847,4.3,99.08
5341,Lapa,5,1022,3.94,62.76
5342,Ipanema,4,1233,2.8,46.79
5343,Copacabana,1,1237,3.5,63.14
5344,Ipanema,3,929,3.88,38.62
5345,Flamengo,2,935,3.04,80.76
5346,Ipanema,4,1371,4.71,31.27
5347,Lapa,4,1898,3.93,93.1
5348,Leblon,2,329,2.81,27.67
5349,Flamengo,1,968,2.71,90.5
5350,Copacabana,2,1725,3.66,97.83
5351,Lapa,5,1642,2.68,87.18
5352,Ipanema,3,1701,4.12,28.08
5353,Ipanema,2,728,4.53,20.76
5354,Leblon,1,1550,4.08,47.52
5355,Copacabana,5,1995,2.62,23.85
5356,Copacabana,5,1179,2.68,46.89
5357,Botafogo,1,1983,2.8,48.19
5358,Copacabana,3,1344,4.74,82.32
5359,Leblon,4,1305,4.53,59.82
5360,Barra da Tijuca,5,1811,3.83,94.17
5361,Botafogo,1,141,3.05,40.77
5362,Botafogo,5,885,4.97,35.93
5363,Ipanema,4,374,3.67,71.13
5364,Ipanema,1,723,4.77,82.02
5365,Copacabana,5,1296,3.06,22.32
5366,Botafogo,1,375,4.15,99.45
5367,Ipanema,1,1537,4.51,78.98
5368,Leblon,4,193,4.46,58.67
5369,Ipanema,1,1642,4.04,96.16
5370,Flamengo,3,890,4.27,24.97
5371,Flamengo,5,1606,2.83,49.12
5372,Ipanema,2,626,3.02,99.77
5373,Botafogo,3,355,2.95,72.86
5374,Barra da Tijuca,3,301,3.87,21.64
5375,Barra da Tijuca,1,1403,3.83,84.62
5376,Botafogo,3,1574,4.81,76.69
5377,Lapa,3,916,4.4,35.15
5378,Barra da Tijuca,3,1936,2.94,53.06
5379,Flamengo,1,1245,2.92,91.57
5380,Leblon,3,1651,3.13,78.87
5381,Botafogo,2,1817,5.0,56.93
5382,Copacabana,3,255,2.92,56.31
5383,Flamengo,1,317,3.44,62.87
5384,Leblon,1,1579,3.28,71.1
5385,Leblon,4,1093,2.51,91.93
5386,Botafogo,4,921,3.21,77.21
5387,Leblon,2,445,3.02,81.2
5388,Botafogo,5,1119,4.94,84.51
5389,Barra da Tijuca,4,1066,4.32,96.52
5390,Ipanema,3,1799,4.52,38.31
5391,Flamengo,1,284,4.61,20.35
5392,Lapa,4,535,3.12,87.11
5393,Ipanema,1,1154,4.76,69.15
5394,Flamengo,3,897,3.86,53.68
5395,Botafogo,1,778,2.69,23.53
5396,Flamengo,1,1616,4.01,54.83
5397,Barra da Tijuca,4,1658,2.76,24.24
5398,Botafogo,1,478,3.86,88.96
5399,Ipanema,3,1943,3.84,53.43
5400,Copacabana,2,243,4.11,67.33
5401,Copacabana,1,739,2.8,71.89
5402,Flamengo,1,829,4.7,25.86
5403,Copacabana,3,120,4.35,47.88
5404,Botafogo,5,1392,4.97,76.75
5405,Leblon,3,1469,2.52,90.06
5406,Botafogo,4,1196,3.96,35.13
5407,Leblon,4,1449,3.71,74.47
5408,Ipanema,2,1311,3.5,36.94
5409,Lapa,1,633,3.14,89.06
5410,Leblon,2,1655,2.84,20.54
5411,Copacabana,2,1595,4.94,21.55
5412,Botafogo,1,956,4.68,58.01
5413,Ipanema,1,964,4.55,85.11
5414,Copacabana,3,909,2.83,86.13
5415,Ipanema,2,927,4.93,98.66
5416,Lapa,2,1334,3.48,85.76
5417,Barra da Tijuca,4,778,3.71,54.51
5418,Botafogo,2,1899,4.1,83.62
5419,Flamengo,3,111,3.29,44.45
5420,Botafogo,5,1824,3.66,21.65
5421,Lapa,2,1407,3.86,58.28
5422,Botafogo,3,1602,2.9,88.62
5423,Flamengo,3,499,3.19,50.22
5424,Leblon,5,1352,2.74,63.48
5425,Ipanema,3,1921,3.5,75.03
5426,Flamengo,4,1810,3.69,56.84
5427,Copacabana,5,1886,3.93,59.4
5428,Lapa,4,921,4.66,99.37
5429,Leblon,2,1705,2.91,37.47
5430,Copacabana,2,1245,2.7,52.61
5431,Copacabana,3,1936,2.8,57.87
5432,Lapa,3,284,2.9,82.34
5433,Leblon,5,1148,2.64,70.11
5434,Barra da Tijuca,2,1435,4.28,95.19
5435,Copacabana,1,1974,4.74,64.35
5436,Copacabana,3,1371,4.62,77.69
5437,Leblon,5,288,4.61,71.91
5438,Botafogo,3,1921,3.2,49.22
5439,Copacabana,5,141,2.67,20.53
5440,Ipanema,2,1288,4.64,27.69
5441,Leblon,3,762,4.59,71.44
5442,Copacabana,3,959,2.75,33.48
5443,Lapa,1,1149,3.47,43.89
5444,Flamengo,2,357,3.37,76.93
5445,Ipanema,5,167,2.75,89.42
5446,Flamengo,1,331,4.9,49.01
5447,Flamengo,5,1229,4.44,46.47
5448,Copacabana,3,522,4.0,68.15
5449,Ipanema,4,395,3.41,53.47
5450,Ipanema,3,1752,4.93,99.37
5451,Botafogo,2,1354,3.38,23.69
5452,Flamengo,5,1543,3.91,38.49
5453,Ipanema,1,1962,4.09,91.29
5454,Botafogo,3,379,2.79,70.9
5455,Leblon,5,244,4.19,44.46
5456,Botafogo,1,1635,2.96,58.87
5457,Lapa,3,1154,4.6,25.89
5458,Barra da Tijuca,4,1980,3.15,69.75
5459,Copacabana,4,775,4.2,69.65
5460,Leblon,3,872,2.78,37.51
5461,Barra da Tijuca,2,567,3.84,80.89
5462,Barra da Tijuca,4,180,2.89,83.57
5463,Leblon,5,1976,3.59,79.23
5464,Lapa,2,569,4.13,89.56
5465,Botafogo,2,898,2.8,42.14
5466,Copacabana,3,1285,3.53,31.94
5467,Botafogo,5,895,4.96,82.32
5468,Ipanema,5,1320,4.2,30.85
5469,Botafogo,1,467,3.08,77.79
5470,Leblon,4,1788,3.65,62.68
5471,Copacabana,4,849,3.0,79.67
5472,Botafogo,2,1954,4.9,93.27
5473,Copacabana,2,1672,3.77,77.81
5474,Copacabana,3,379,3.0,90.78
5475,Ipanema,5,799,3.85,89.5
5476,Ipanema,4,1899,2.79,96.62
5477,Leblon,1,708,2.74,83.32
5478,Lapa,4,1961,2.67,58.86
5479,Barra da Tijuca,4,1938,3.37,84.54
5480,Copacabana,4,794,4.75,76.64
5481,Lapa,2,222,2.62,87.52
5482,Barra da Tijuca,5,1393,4.94,24.6
5483,Barra da Tijuca,5,475,2.69,49.96
5484,Leblon,4,1604,2.9,46.24
5485,Barra da Tijuca,5,208,2.84,98.33
5486,Barra da Tijuca,3,1001,3.19,42.76
5487,Copacabana,2,1887,4.92,81.97
5488,Copacabana,2,949,2.82,89.47
5489,Flamengo,5,1426,4.94,39.53
5490,Lapa,4,1026,4.58,94.56
5491,Botafogo,4,1013,4.13,88.72
5492,Ipanema,4,415,4.25,54.36
5493,Botafogo,5,1035,3.35,94.64
5494,Lapa,4,1028,2.69,70.63
5495,Ipanema,5,407,4.2,74.32
5496,Botafogo,1,1618,2.93,25.19
5497,Flamengo,5,1750,4.42,69.84
5498,Ipanema,3,1978,3.2,71.03
5499,Copacabana,4,859,3.63,76.17
5500,Botafogo,4,1915,3.07,44.83
5501,Ipanema,2,1590,4.32,97.0
5502,Flamengo,5,1094,3.86,40.0
5503,Barra da Tijuca,1,737,4.2,70.24
5504,Ipanema,4,1612,4.23,73.14
5505,Ipanema,2,1875,4.94,58.38
5506,Flamengo,5,1211,3.82,20.73
5507,Barra da Tijuca,2,1655,3.04,76.03
5508,Botafogo,1,1283,2.66,22.6
5509,Leblon,5,1368,4.73,67.68
5510,Botafogo,4,979,2.64,77.55
5511,Barra da Tijuca,5,244,3.87,61.72
5512,Lapa,4,1475,3.13,41.1
5513,Flamengo,3,1215,4.77,85.19
5514,Botafogo,4,565,3.84,21.42
5515,Ipanema,2,317,3.76,95.39
5516,Flamengo,1,1003,3.68,89.42
5517,Copacabana,5,1212,4.29,52.97
5518,Barra da Tijuca,3,452,2.57,76.63
5519,Botafogo,3,598,3.98,95.34
5520,Flamengo,3,1856,3.54,58.98
5521,Botafogo,2,1544,3.23,24.32
5522,Flamengo,4,631,4.46,44.97
5523,Ipanema,3,1999,2.86,74.34
5524,Copacabana,1,1669,4.73,88.96
5525,Copacabana,1,164,2.79,32.94
5526,Lapa,5,727,3.53,98.69
5527,Flamengo,1,1519,2.58,78.94
5528,Botafogo,4,346,3.01,55.07
5529,Copacabana,4,1739,2.91,43.51
5530,Barra da Tijuca,3,1330,3.69,69.74
5531,Copacabana,4,1987,3.21,40.15
5532,Leblon,4,1546,2.71,70.84
5533,Leblon,3,1368,4.55,21.95
5534,Copacabana,5,135,2.83,85.64
5535,Flamengo,4,712,4.99,40.74
5536,Lapa,4,728,2.62,71.43
5537,Copacabana,2,1471,4.28,30.86
5538,Ipanema,5,1288,4.29,90.06
5539,Botafogo,3,255,3.38,27.04
5540,Lapa,2,1668,4.6,40.97
5541,Ipanema,2,1214,3.05,63.37
5542,Lapa,5,527,4.36,42.3
5543,Ipanema,4,122,4.7,22.47
5544,Botafogo,3,1559,2.69,80.16
5545,Botafogo,5,975,3.51,45.8
5546,Leblon,2,1816,4.89,71.42
5547,Flamengo,1,481,3.62,20.1
5548,Ipanema,3,580,4.0,84.22
5549,Leblon,1,1964,4.71,44.08
5550,Ipanema,4,893,4.45,95.88
5551,Leblon,5,1946,3.26,73.15
5552,Botafogo,4,932,4.27,29.93
5553,Lapa,5,467,4.17,96.59
5554,Barra da Tijuca,2,1877,4.65,50.3
5555,Leblon,4,907,3.83,80.31
5556,Ipanema,1,190,4.21,31.93
5557,Ipanema,2,1275,3.74,28.38
5558,Barra da Tijuca,5,1443,4.38,57.4
5559,Flamengo,2,261,3.73,30.73
5560,Botafogo,1,506,2.61,49.9
5561,Ipanema,3,333,3.71,93.0
5562,Copacabana,5,546,4.99,95.12
5563,Lapa,3,324,3.84,20.43
5564,Leblon,2,1081,2.56,24.26
5565,Flamengo,4,245,3.44,33.23
5566,Barra da Tijuca,5,284,2.87,38.82
5567,Lapa,2,889,3.84,94.78
5568,Botafogo,5,431,3.44,70.69
5569,Flamengo,1,852,3.89,53.22
5570,Leblon,2,1383,4.84,82.8
5571,Leblon,4,617,2.51,50.48
5572,Barra da Tijuca,5,1637,4.2,92.89
5573,Copacabana,4,1517,3.74,77.24
5574,Barra da Tijuca,4,698,4.8,85.09
5575,Botafogo,1,1421,2.54,35.38
5576,Flamengo,3,152,4.05,56.54
5577,Flamengo,2,950,4.95,65.87
5578,Ipanema,3,1083,4.07,89.18
5579,Copacabana,3,1721,3.24,43.1
5580,Copacabana,1,1558,3.04,68.35
5581,Flamengo,4,1981,4.72,44.91
5582,Flamengo,4,1977,3.83,90.55
5583,Lapa,2,1914,3.27,90.63
5584,Lapa,1,420,4.74,71.33
5585,Lapa,5,1866,3.81,44.52
5586,Copacabana,4,964,3.98,83.0
5587,Ipanema,2,445,4.33,97.03
5588,Leblon,5,318,3.85,22.54
5589,Lapa,3,1687,3.48,47.07
